C 328 ,Estimate,Std..Error,t.value,Pr...t..,
C 328 ,(Intercept),56.83542977,43.92262138,1.29398993,0.199862322,1
C 328 ,dowjones,-0.53528236,0.22495729,-2.379484392,0.020027065,1
C 328 ,marriage,0.215176201,0.100635345,2.138177219,0.035945071,1
C 328 ,office,0.615812028,0.262653495,2.344579605,0.021849696,1
C 328 ,invest,0.84689028,0.222876322,3.79982168,0.000302861,1
C 328 ,finance,-0.793926711,0.282663471,-2.80873474,0.006419324,1
C 328 ,crisis,0.363443747,0.151919838,2.392338958,0.019390764,1
C 328 ,success,-0.557024692,0.196681587,-2.832114081,0.006012904,1
C 328 ,oil,0.306684409,0.104098794,2.946089915,0.004349917,1
C 328 ,economy,-0.541450312,0.246485529,-2.196681948,0.031309247,1
C 328 ,food,0.448203405,0.205577384,2.180217478,0.03255775,1
C 328 ,arts,-0.733347557,0.360706247,-2.033088039,0.045783478,1
C 328 ,culture,0.736610411,0.303187175,2.42955663,0.017649014,1
C 328 ,fond,-0.671339003,0.162910872,-4.120897495,0.000100834,1
C 328 ,consumption,0.279799282,0.13787063,2.029433549,0.046163742,1
