L 185 ,Estimate,Std..Error,t.value,Pr...t..,
L 185 ,(Intercept),59.42341492,42.12382661,1.410684159,0.162704282,1
L 185 ,credit,-1.008922033,0.298158114,-3.383848992,0.00116681,1
L 185 ,inflation,0.30423351,0.145180237,2.095557326,0.039688319,1
L 185 ,dowjones,-0.566157288,0.215744452,-2.624203235,0.010625804,1
L 185 ,stockmarket,0.564012251,0.262944708,2.144984226,0.035376603,1
L 185 ,crisis,0.346849452,0.145698156,2.380602899,0.019970968,1
L 185 ,chance,0.236900685,0.087364953,2.711621509,0.008391955,1
L 185 ,tourism,-0.601928907,0.255951084,-2.351734161,0.021464521,1
L 185 ,lifestyle,0.274573522,0.087755533,3.128845697,0.002545831,1
L 185 ,world,0.206134238,0.087712986,2.350099434,0.021551992,1
L 185 ,shortselling,-0.293393258,0.147078546,-1.994806634,0.049903543,1
L 185 ,forex,-0.328590699,0.126614155,-2.595212974,0.011478216,1
