X 354 ,Estimate,Std..Error,t.value,Pr...t..,
X 354 ,(Intercept),-33.14061473,22.22888279,-1.490880808,0.140422419,1
X 354 ,unemployment,-0.144691064,0.059550998,-2.429700082,0.017642581,1
X 354 ,cancer,0.172772644,0.085412922,2.022792811,0.046861691,1
X 354 ,default,-0.307355097,0.087938606,-3.495109945,0.000820747,1
X 354 ,lifestyle,-0.139342544,0.046308885,-3.008980728,0.003625831,1
X 354 ,fond,0.229665207,0.082447872,2.785580766,0.006846563,1
