L 200 ,Estimate,Std..Error,t.value,Pr...t..,
L 200 ,(Intercept),0.107216445,14.89849812,0.00719646,0.994278288,1
L 200 ,bonds,-0.080812659,0.040056269,-2.017478466,0.047426747,1
L 200 ,sell,-0.252261639,0.122581885,-2.057903085,0.043271976,1
L 200 ,default,-0.159552189,0.058939227,-2.707062819,0.008496919,1
L 200 ,food,-0.157983053,0.069731591,-2.265587967,0.026528162,1
L 200 ,fond,0.165388833,0.055259163,2.992966637,0.003798758,1
