L 307 ,Estimate,Std..Error,t.value,Pr...t..,
L 307 ,(Intercept),21.29269153,16.4726169,1.292611348,0.200336338,1
L 307 ,housing,-0.199096916,0.088123086,-2.259304842,0.026935737,1
L 307 ,credit,0.260536145,0.116595399,2.234531952,0.028596993,1
L 307 ,revenue,-0.093929397,0.046316228,-2.028001882,0.046313451,1
L 307 ,invest,0.210302773,0.083586911,2.515977315,0.014133169,1
L 307 ,loss,-0.178164666,0.076783106,-2.320362838,0.023199403,1
L 307 ,banking,0.132245553,0.052772119,2.505973893,0.014505043,1
L 307 ,finance,-0.229069142,0.106009317,-2.160839721,0.034082768,1
L 307 ,risk,0.20285733,0.08842476,2.294123607,0.024744799,1
L 307 ,rich,0.096705377,0.047113724,2.052594629,0.043799012,1
L 307 ,success,-0.257962031,0.073762912,-3.497177997,0.000815345,1
