P 402 ,Estimate,Std..Error,t.value,Pr...t..,
P 402 ,(Intercept),146.9526162,36.80744806,3.992469567,0.000157457,1
P 402 ,economics,-0.666239267,0.237434358,-2.805993513,0.006468596,1
P 402 ,cancer,-0.393203325,0.141430035,-2.78019675,0.006949577,1
P 402 ,invest,0.841480225,0.186771836,4.505391407,2.54E-05,1
P 402 ,risk,0.5428885,0.197581829,2.747664111,0.007602873,1
P 402 ,rich,0.222028322,0.105273859,2.109054658,0.038467872,1
P 402 ,success,-0.675600669,0.164820475,-4.099009364,0.000108849,1
P 402 ,gain,0.357067075,0.142285164,2.509517269,0.014372323,1
P 402 ,lifestyle,0.38703556,0.076680052,5.047408665,3.32E-06,1
P 402 ,kitchen,-0.637900232,0.254568827,-2.505806539,0.014511338,1
P 402 ,fun,-0.422279643,0.171285765,-2.465351647,0.016107331,1
