G 329 ,Estimate,Std..Error,t.value,Pr...t..,
G 329 ,(Intercept),93.85860718,35.56594567,2.639002152,0.010213203,1
G 329 ,economics,-0.545262819,0.22942578,-2.376641456,0.020170278,1
G 329 ,credit,0.503420041,0.25174055,1.999757452,0.049353433,1
G 329 ,unemployment,-0.221045641,0.095280881,-2.319936987,0.023223785,1
G 329 ,money,0.683916842,0.224070562,3.052238704,0.003194579,1
G 329 ,ore,0.209071342,0.104626126,1.998270883,0.049518065,1
G 329 ,rich,0.290894405,0.101723008,2.859671666,0.005564305,1
G 329 ,success,-0.530348223,0.159261137,-3.330054219,0.001379792,1
G 329 ,gains,0.258850765,0.101015145,2.562494614,0.012514332,1
G 329 ,culture,0.508252916,0.245503074,2.070250716,0.042067201,1
G 329 ,fun,-0.469300288,0.165508356,-2.835508123,0.005955911,1
