P 214 ,Estimate,Std..Error,t.value,Pr...t..,
P 214 ,(Intercept),83.86576309,23.20653498,3.613885622,0.000559648,1
P 214 ,economics,-0.368136228,0.149698743,-2.459180481,0.01636418,1
P 214 ,dowjones,-0.379189859,0.118856276,-3.190322563,0.002116548,1
P 214 ,cancer,-0.206241023,0.089169482,-2.312910417,0.023629381,1
P 214 ,stockmarket,0.352703589,0.144859479,2.43479814,0.017415306,1
P 214 ,bonds,0.137362472,0.062393349,2.201556309,0.030947763,1
P 214 ,invest,0.321036793,0.117756796,2.726269769,0.008062647,1
P 214 ,rich,0.140960154,0.066373563,2.123739435,0.037177181,1
P 214 ,success,-0.220654585,0.103916797,-2.123377466,0.037208537,1
P 214 ,war,-0.165780114,0.079348808,-2.089257767,0.040269328,1
P 214 ,gain,0.280355882,0.089708627,3.125183067,0.002573815,1
P 214 ,arts,-0.450101903,0.190579293,-2.361756596,0.020935104,1
P 214 ,consumption,0.17880444,0.072844004,2.454621261,0.016556293,1
P 214 ,kitchen,-0.335314843,0.160501765,-2.089166072,0.040277839,1
