S 182 ,Estimate,Std..Error,t.value,Pr...t..,
S 182 ,(Intercept),146.1020601,125.5845115,1.163376425,0.24857177,1
S 182 ,inflation,0.867744322,0.432828417,2.004822902,0.048795972,1
S 182 ,office,2.350752127,0.750984569,3.130226935,0.002535352,1
S 182 ,cash,0.696430876,0.290704986,2.395661961,0.019229238,1
S 182 ,success,-1.313466376,0.562356259,-2.335648186,0.022339141,1
S 182 ,war,-0.88545145,0.429404102,-2.062047021,0.042864368,1
S 182 ,arts,-2.352383859,1.031339125,-2.280902375,0.025557453,1
S 182 ,greed,-0.657448914,0.303470808,-2.166432144,0.033636372,1
S 182 ,consumption,0.91746797,0.394202695,2.32740157,0.022799678,1
