A 163 ,Estimate,Std..Error,t.value,Pr...t..,
A 163 ,(Intercept),-12.64176716,30.05459104,-0.420626824,0.675298035,1
A 163 ,restaurant,-0.627012165,0.203125345,-3.086823881,0.002884658,1
A 163 ,stockmarket,0.390777005,0.18760631,2.082963018,0.040857236,1
A 163 ,office,0.626868459,0.179723868,3.48795331,0.000839701,1
A 163 ,returns,-0.187647557,0.062436341,-3.00542209,0.003663615,1
A 163 ,opportunity,0.27661216,0.133087313,2.07842621,0.041285551,1
A 163 ,world,-0.146344403,0.062581634,-2.338456075,0.022184229,1
A 163 ,consumption,0.393410042,0.094339665,4.170144559,8.48E-05,1
