E 292 ,Estimate,Std..Error,t.value,Pr...t..,
E 292 ,(Intercept),-83.99005506,43.36073871,-1.937007015,0.056723889,1
E 292 ,stockmarket,0.839766488,0.270665742,3.102596148,0.002752835,1
E 292 ,fond,0.449729367,0.160826825,2.796357927,0.006644556,1
