G 316 ,Estimate,Std..Error,t.value,Pr...t..,
G 316 ,(Intercept),65.70782039,21.89784988,3.000651696,0.003714838,1
G 316 ,credit,0.327679982,0.154995929,2.114119935,0.03801834,1
G 316 ,finance,-0.329061249,0.140923334,-2.335037345,0.022372969,1
G 316 ,gain,0.184597603,0.084649692,2.180723857,0.032518712,1
G 316 ,food,0.292240665,0.102491667,2.851360242,0.005696245,1
G 316 ,home,-0.361517417,0.16043575,-2.253347009,0.027327301,1
G 316 ,forex,0.137432128,0.065819703,2.088008926,0.040385379,1
G 316 ,labor,-0.113295958,0.045911201,-2.467719312,0.016009751,1
