M 288 ,Estimate,Std..Error,t.value,Pr...t..,
M 288 ,(Intercept),34.4339213,36.76898045,0.936493775,0.352193601,1
M 288 ,stocks,-0.212967907,0.10155619,-2.09704506,0.03955217,1
M 288 ,investment,0.805037765,0.400962876,2.007761347,0.048475072,1
M 288 ,headlines,0.24836113,0.07059945,3.517890452,0.000763074,1
M 288 ,bonds,0.206422242,0.098857492,2.088078892,0.04037887,1
M 288 ,rich,-0.256591306,0.105163837,-2.439919594,0.017189632,1
M 288 ,health,-0.353142504,0.175185379,-2.015821795,0.047604087,1
M 288 ,culture,-0.570839545,0.253807331,-2.249105818,0.02760909,1
M 288 ,fun,0.418296231,0.171106754,2.444650616,0.016983493,1
