U 331 ,Estimate,Std..Error,t.value,Pr...t..,
U 331 ,(Intercept),103.5964515,80.19343357,1.291832097,0.201452878,1
U 331 ,dowjones,0.937328584,0.412567701,2.271938838,0.026750922,1
U 331 ,arts,1.469738438,0.65497597,2.243957804,0.028600935,1
