I 193 ,Estimate,Std..Error,t.value,Pr...t..,
I 193 ,(Intercept),18086.46183,NA,NA,NA,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
I 193 ,,,,,,1
