Q 243 ,Estimate,Std..Error,t.value,Pr...t..,
Q 243 ,(Intercept),46.14817832,24.54676725,1.880010424,0.067997854,1
Q 243 ,housing,-0.317805066,0.136571976,-2.327015223,0.025544854,1
Q 243 ,credit,0.423368775,0.175772935,2.408611856,0.021109588,1
Q 243 ,invest,0.459685999,0.194684251,2.3611874,0.023594075,1
Q 243 ,trader,0.206836523,0.092384701,2.238861193,0.031264042,1
Q 243 ,consumption,-0.153442578,0.064463345,-2.380307409,0.022562238,1
