O 409 ,Estimate,Std..Error,t.value,Pr...t..,
O 409 ,(Intercept),-20.02265882,42.38272668,-0.47242498,0.638072407,1
O 409 ,restaurant,-0.670625629,0.28644562,-2.341197008,0.022033931,1
O 409 ,unemployment,-0.247474899,0.113542983,-2.179570177,0.032607713,1
O 409 ,happy,0.54978899,0.165008614,3.331880535,0.001371997,1
O 409 ,war,-0.300082618,0.144916889,-2.070722196,0.042021778,1
O 409 ,oil,0.24567857,0.100449168,2.445799962,0.01693375,1
O 409 ,gains,0.486555797,0.120376309,4.041956429,0.000132729,1
O 409 ,nyse,-0.414996965,0.206864949,-2.006125094,0.048653539,1
O 409 ,culture,0.786025146,0.292557656,2.686735861,0.008979688,1
O 409 ,present,-0.574997775,0.24914021,-2.307928431,0.023920748,1
O 409 ,bubble,0.282240893,0.140494953,2.008904145,0.048350759,1
O 409 ,energy,0.679066484,0.23413901,2.900270591,0.004959367,1
O 409 ,conflict,0.28570662,0.12364123,2.310771412,0.023754091,1
O 409 ,home,0.63479742,0.310519278,2.044309207,0.044632668,1
