O 362 ,Estimate,Std..Error,t.value,Pr...t..,
O 362 ,(Intercept),42.79573422,13.92905803,3.072406916,0.003010279,1
O 362 ,loss,0.146923277,0.064926924,2.262902181,0.026701714,1
O 362 ,chance,-0.075639303,0.028888911,-2.618281526,0.010795102,1
O 362 ,war,0.104095038,0.04762685,2.185637685,0.032142009,1
O 362 ,food,0.149651519,0.06519418,2.295473579,0.024663122,1
O 362 ,trader,0.109280728,0.05257664,2.078503452,0.041278227,1
O 362 ,labor,-0.06215302,0.029203771,-2.12825326,0.036788086,1
