S 172 ,Estimate,Std..Error,t.value,Pr...t..,
S 172 ,(Intercept),53.99359685,20.81443998,2.594045139,0.011513819,1
S 172 ,economics,-0.312745506,0.13426802,-2.329262805,0.022695007,1
S 172 ,bubble,-0.166079956,0.068998009,-2.407025336,0.018685917,1
S 172 ,fond,0.244058178,0.077201644,3.161308059,0.002309934,1
