I 166 ,Estimate,Std..Error,t.value,Pr...t..,
I 166 ,(Intercept),90.02098902,42.70925418,2.107763077,0.038912695,1
I 166 ,restaurant,-0.578925357,0.278471481,-2.078939487,0.041573642,1
I 166 ,growth,0.689939816,0.337293864,2.045515466,0.044855365,1
I 166 ,finance,0.727510524,0.298866273,2.434234274,0.017679408,1
I 166 ,consume,-0.566038918,0.168022329,-3.368831518,0.001273017,1
