F 151 ,Estimate,Std..Error,t.value,Pr...t..,
F 151 ,(Intercept),336.1686217,NA,NA,NA,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
F 151 ,,,,,,1
