L 134 ,Estimate,Std..Error,t.value,Pr...t..,
L 134 ,(Intercept),88.82879792,31.17878345,2.849014236,0.005734005,1
L 134 ,restaurant,-0.514906145,0.210723251,-2.443518418,0.017032622,1
L 134 ,economics,-0.709024401,0.201125446,-3.525284414,0.000745196,1
L 134 ,money,0.580695258,0.19643081,2.956233073,0.004224729,1
L 134 ,society,-0.598100377,0.225626643,-2.650841096,0.009893673,1
L 134 ,invest,0.412508849,0.158210333,2.607344541,0.011114235,1
L 134 ,risk,0.468891464,0.167367242,2.801572511,0.006548792,1
L 134 ,water,-0.462406125,0.225890796,-2.047033935,0.044357017,1
L 134 ,chance,0.187487231,0.064664898,2.899366387,0.004972152,1
L 134 ,culture,0.438570658,0.21521956,2.03778252,0.045298956,1
L 134 ,conflict,0.195284215,0.090956469,2.147007449,0.035209157,1
L 134 ,buy,-0.3742273,0.148126544,-2.526402701,0.013754771,1
L 134 ,home,0.574558852,0.228432998,2.515218274,0.014161082,1
L 134 ,fun,-0.357840491,0.145092422,-2.466293463,0.016068451,1
