L 217 ,Estimate,Std..Error,t.value,Pr...t..,
L 217 ,(Intercept),0.822148828,24.16209744,0.034026385,0.97295159,1
L 217 ,bonds,0.136811848,0.064962485,2.106013143,0.03874001,1
L 217 ,finance,-0.439066037,0.155494871,-2.823668944,0.0061569,1
L 217 ,nasdaq,0.119357,0.05784622,2.063350045,0.042736886,1
L 217 ,default,-0.200440413,0.095586503,-2.096953092,0.039560575,1
L 217 ,energy,0.37351385,0.133481019,2.798254401,0.00660958,1
