F 314 ,Estimate,Std..Error,t.value,Pr...t..,
F 314 ,(Intercept),11.83434807,NA,NA,NA,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
F 314 ,,,,,,1
