D 135 ,Estimate,Std..Error,t.value,Pr...t..,
D 135 ,(Intercept),30.82017519,20.48960523,1.504185896,0.136969099,1
D 135 ,credit,0.333393552,0.145028183,2.298819058,0.024461738,1
D 135 ,dowjones,0.396939334,0.104941051,3.782498173,0.000320927,1
D 135 ,cancer,-0.2126529,0.07872987,-2.701044726,0.008637321,1
D 135 ,stockmarket,-0.400196213,0.127899901,-3.128979849,0.002544811,1
D 135 ,sell,0.349917469,0.168584404,2.075621823,0.041552249,1
D 135 ,chance,-0.116505418,0.042495508,-2.741593742,0.007730827,1
D 135 ,food,0.388853112,0.095900456,4.054757684,0.000126968,1
D 135 ,labor,-0.128703317,0.042958665,-2.995980391,0.003765641,1
