I 230 ,Estimate,Std..Error,t.value,Pr...t..,
I 230 ,(Intercept),1604.982089,NA,NA,NA,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
I 230 ,,,,,,1
