M 422 ,Estimate,Std..Error,t.value,Pr...t..,
M 422 ,(Intercept),29.58018614,19.1556903,1.544198391,0.126986061,1
M 422 ,economics,-0.360215295,0.123567899,-2.915120334,0.004753706,1
M 422 ,hedge,0.136873444,0.059391808,2.304584541,0.024118092,1
M 422 ,cancer,-0.1848329,0.073604395,-2.511166614,0.014310919,1
M 422 ,bonds,0.103112641,0.051502203,2.002101549,0.049094787,1
M 422 ,office,0.362077761,0.114549379,3.160888027,0.002312851,1
M 422 ,invest,0.291759778,0.097201616,3.001593894,0.003704668,1
M 422 ,finance,-0.282818225,0.123276201,-2.294183484,0.024741171,1
M 422 ,risk,0.252596119,0.102827458,2.456504557,0.016476692,1
M 422 ,success,-0.263994912,0.085777475,-3.077671751,0.002963825,1
M 422 ,default,-0.252493909,0.075780898,-3.331893848,0.00137194,1
