S 396 ,Estimate,Std..Error,t.value,Pr...t..,
S 396 ,(Intercept),-468.3889587,NA,NA,NA,1
S 396 ,,,,,,1
S 396 ,,,,,,1
S 396 ,,,,,,1
S 396 ,,,,,,1
