R 315 ,Estimate,Std..Error,t.value,Pr...t..,
R 315 ,(Intercept),73.0050626,32.61951448,2.238079375,0.028353707,1
R 315 ,restaurant,-0.454291904,0.220460499,-2.060649897,0.043001421,1
R 315 ,economics,-0.720610831,0.210419192,-3.424644043,0.001026404,1
R 315 ,revenue,-0.221254702,0.091716628,-2.412372844,0.018435014,1
R 315 ,dowjones,-0.394765482,0.167066476,-2.362924578,0.02087417,1
R 315 ,stockmarket,0.591966924,0.203617036,2.907256369,0.004861615,1
R 315 ,office,0.478092725,0.195061889,2.450979675,0.01671119,1
R 315 ,invest,0.370174755,0.165521027,2.236421327,0.02846719,1
R 315 ,risk,0.372982588,0.175101064,2.130098921,0.036630012,1
R 315 ,rich,0.229508057,0.09329585,2.460002842,0.016329742,1
R 315 ,success,-0.474005192,0.146067281,-3.245115464,0.001792019,1
R 315 ,culture,0.508389657,0.225164576,2.257858074,0.027030365,1
R 315 ,tourism,-0.415470892,0.198201369,-2.096205969,0.039628909,1
