O 233 ,Estimate,Std..Error,t.value,Pr...t..,
O 233 ,(Intercept),34.17596465,14.14438692,2.416220997,0.018256326,1
O 233 ,marriage,-0.071505897,0.032407566,-2.206456878,0.030588028,1
O 233 ,car,0.28587353,0.106166668,2.692686284,0.008835837,1
O 233 ,gain,0.115479961,0.054677423,2.112022752,0.038203904,1
O 233 ,consumption,-0.108304838,0.044398432,-2.439384293,0.017213096,1
O 233 ,crash,-0.051483132,0.025674296,-2.005240231,0.048750286,1
O 233 ,labor,-0.070292153,0.029655231,-2.370312114,0.020492402,1
O 233 ,environment,-0.185169714,0.09257877,-2.000131487,0.049312084,1
