X 107 ,Estimate,Std..Error,t.value,Pr...t..,
X 107 ,(Intercept),112.7016872,54.36424409,2.073084783,0.041794803,1
X 107 ,leverage,-0.162053881,0.077139773,-2.100782438,0.039211932,1
X 107 ,gain,0.495554729,0.210153808,2.358057341,0.021129142,1
X 107 ,lifestyle,0.256634268,0.113255694,2.265972323,0.026503407,1
X 107 ,shortselling,-0.405385975,0.189816894,-2.135668569,0.03615657,1
