R 322 ,Estimate,Std..Error,t.value,Pr...t..,
R 322 ,(Intercept),33.19907592,14.77659152,2.246734363,0.027767765,1
R 322 ,stocks,0.095627019,0.040813053,2.34304989,0.021932842,1
R 322 ,hedge,0.096525728,0.045814506,2.10688134,0.038662158,1
R 322 ,cancer,-0.161097025,0.056778016,-2.837313411,0.005925799,1
R 322 ,invest,0.299496242,0.074980779,3.994306894,0.000156465,1
R 322 ,banking,0.106640713,0.047338687,2.252718041,0.027368929,1
R 322 ,car,0.315525209,0.110911946,2.84482618,0.005801987,1
R 322 ,oil,0.097268978,0.035021256,2.777426884,0.007003126,1
R 322 ,default,-0.186073742,0.058456958,-3.183089729,0.002163285,1
R 322 ,conflict,-0.095901433,0.043107089,-2.224725363,0.029279117,1
R 322 ,train,-0.167939373,0.060461708,-2.777615418,0.006999469,1
