Y 309 ,Estimate,Std..Error,t.value,Pr...t..,
Y 309 ,(Intercept),-164.6787502,115.782557,-1.422310532,0.159314664,1
Y 309 ,cancer,0.951442163,0.444886347,2.138618478,0.03590798,1
Y 309 ,invest,-1.40626139,0.587514807,-2.393576082,0.019330489,1
Y 309 ,default,-0.96315087,0.458041764,-2.102757751,0.039033134,1
Y 309 ,fond,1.595481214,0.429442431,3.715238879,0.000401322,1
