N 420 ,Estimate,Std..Error,t.value,Pr...t..,
N 420 ,(Intercept),-8.044652503,24.02367545,-0.334863519,0.741049769,1
N 420 ,housing,0.300244795,0.132747844,2.261767767,0.034444319,1
N 420 ,banking,-0.132250346,0.060070563,-2.20158326,0.039012769,1
N 420 ,economy,-0.254489296,0.11030143,-2.307216649,0.031324957,1
N 420 ,crash,-0.084839113,0.031437671,-2.698644938,0.013450229,1
