B 421 ,Estimate,Std..Error,t.value,Pr...t..,
B 421 ,(Intercept),0.527046231,24.97105677,0.021106285,0.983220076,1
B 421 ,dowjones,-0.45739816,0.127893579,-3.576396584,0.000632049,1
B 421 ,unemployment,-0.149415393,0.06689726,-2.233505436,0.028667734,1
B 421 ,stockmarket,0.486829027,0.15587395,3.123222504,0.002588912,1
B 421 ,happy,0.209329782,0.097219783,2.153160355,0.034704168,1
B 421 ,default,0.284284183,0.098786788,2.877755103,0.005286911,1
B 421 ,energy,0.293969683,0.137950032,2.130986699,0.036554188,1
B 421 ,lifestyle,0.292180986,0.052021589,5.616533273,3.55E-07,1
B 421 ,train,0.303262166,0.102174628,2.96807702,0.004082776,1
