S 111 ,Estimate,Std..Error,t.value,Pr...t..,
S 111 ,(Intercept),93.18413851,64.20522705,1.451348166,0.151087263,1
S 111 ,dowjones,-0.87658901,0.328838157,-2.665715615,0.009505114,1
S 111 ,society,-1.052074333,0.46462396,-2.264356607,0.026607607,1
S 111 ,stockmarket,1.033669291,0.400780889,2.579138175,0.011977142,1
S 111 ,sell,-1.655194563,0.528267862,-3.133248642,0.002512566,1
S 111 ,profit,-0.570324252,0.279305819,-2.04193473,0.044874087,1
S 111 ,house,1.075301843,0.430837902,2.495838544,0.014890784,1
S 111 ,rich,0.532844266,0.183634899,2.901650335,0.004939918,1
S 111 ,gains,0.389092387,0.182357033,2.133684572,0.036324603,1
S 111 ,food,-0.76578058,0.30050899,-2.54827844,0.012990324,1
S 111 ,lifestyle,0.368332578,0.133757172,2.753740764,0.007476731,1
S 111 ,dividend,0.555788614,0.203257948,2.734400401,0.007885001,1
S 111 ,forex,-0.486786458,0.192985568,-2.522398249,0.013899022,1
