H 120 ,Estimate,Std..Error,t.value,Pr...t..,
H 120 ,(Intercept),29.10773774,36.42663813,0.799078346,0.426910099,1
H 120 ,unemployment,-0.24572369,0.09758667,-2.518004673,0.014058858,1
H 120 ,stockmarket,0.477869916,0.227381805,2.101618975,0.039136125,1
H 120 ,conflict,0.216452882,0.1062658,2.0369007,0.045389631,1
H 120 ,lifestyle,0.172349907,0.07588672,2.271147126,0.026172095,1
H 120 ,train,0.411868963,0.149047685,2.763336867,0.007281429,1
