G 141 ,Estimate,Std..Error,t.value,Pr...t..,
G 141 ,(Intercept),106.4094723,52.78536021,2.015889858,0.04759679,1
G 141 ,economics,-1.017140726,0.340503315,-2.987168348,0.003863235,1
G 141 ,dowjones,-0.760987085,0.270349337,-2.814828744,0.006311023,1
G 141 ,headlines,0.206226126,0.101352209,2.03474723,0.045611724,1
G 141 ,stockmarket,0.789234197,0.32949597,2.395277235,0.019247877,1
G 141 ,invest,0.751024928,0.26784847,2.803917187,0.006506147,1
G 141 ,crisis,0.497399392,0.182574335,2.724366446,0.008104757,1
G 141 ,chance,0.268269459,0.109477008,2.450463929,0.016733232,1
G 141 ,nyse,-0.560052558,0.257638942,-2.173788457,0.033056961,1
G 141 ,lifestyle,0.293933229,0.109966444,2.672935653,0.009321564,1
G 141 ,shortselling,-0.409272915,0.184304101,-2.220639214,0.029567534,1
G 141 ,labor,0.246956405,0.110670194,2.231462649,0.028808969,1
