U 372 ,Estimate,Std..Error,t.value,Pr...t..,
U 372 ,(Intercept),-62.85502466,138.5552614,-0.453645888,0.651467296,1
U 372 ,unemployment,-1.16106524,0.371188427,-3.127967241,0.002552517,1
U 372 ,office,1.665656666,0.828548537,2.010330827,0.04819595,1
U 372 ,gain,1.156678651,0.535607848,2.159562553,0.034185436,1
U 372 ,default,1.466622745,0.548131757,2.675675557,0.009252758,1
U 372 ,health,1.532386077,0.660144928,2.321287362,0.023146548,1
U 372 ,culture,1.939505961,0.956413277,2.02789527,0.046324617,1
