F 162 ,Estimate,Std..Error,t.value,Pr...t..,
F 162 ,(Intercept),28.71594522,29.72441253,0.966072759,0.351636905,1
F 162 ,credit,-0.609795178,0.198961472,-3.064890772,0.009037275,1
F 162 ,inflation,-0.267164193,0.073124261,-3.653564336,0.002917405,1
F 162 ,marriage,-0.180973082,0.074350891,-2.43404051,0.030101794,1
F 162 ,happy,0.451265822,0.148954607,3.02955264,0.009673132,1
F 162 ,banking,0.284898451,0.066137005,4.307701121,0.000851044,1
F 162 ,finance,0.381063161,0.156338451,2.437424428,0.029911196,1
F 162 ,chance,-0.214675154,0.083615104,-2.567420768,0.023407868,1
F 162 ,shortsell,-0.163900796,0.06118371,-2.67883064,0.018943031,1
F 162 ,gains,-0.151257459,0.068774826,-2.199314299,0.046556115,1
F 162 ,arts,0.653182799,0.161151192,4.053229721,0.001368051,1
F 162 ,rareearths,0.134141884,0.034332072,3.907188693,0.00180151,1
F 162 ,shortselling,0.185215891,0.06256779,2.960243475,0.011052142,1
