T 254 ,Estimate,Std..Error,t.value,Pr...t..,
T 254 ,(Intercept),-3.523446628,64.03973255,-0.055019696,0.956281774,1
T 254 ,portfolio,-0.990213026,0.349264456,-2.835138267,0.006004713,1
T 254 ,office,0.79340868,0.376781638,2.105751977,0.038867012,1
T 254 ,profit,-0.667584539,0.276278666,-2.416344874,0.018327149,1
T 254 ,returns,-0.298735532,0.132903392,-2.247764544,0.027790282,1
T 254 ,food,0.646261098,0.296101175,2.182568502,0.032474034,1
T 254 ,opportunity,0.982117268,0.279742424,3.510791294,0.000792061,1
T 254 ,consumption,0.588339246,0.198915454,2.957735226,0.004241134,1
