H 242 ,Estimate,Std..Error,t.value,Pr...t..,
H 242 ,(Intercept),-8.74181843,37.40689833,-0.233695356,0.815894,1
H 242 ,credit,0.907331829,0.264771061,3.42685423,0.001019272,1
H 242 ,office,0.541191692,0.223690032,2.419382245,0.018110696,1
H 242 ,success,-0.388240726,0.167504759,-2.317789224,0.0233471,1
H 242 ,war,0.32341163,0.127903317,2.528563271,0.013677504,1
H 242 ,food,0.434647785,0.175080905,2.482553914,0.015410353,1
H 242 ,world,-0.162760354,0.077891089,-2.089588878,0.040238607,1
H 242 ,kitchen,-0.647495075,0.258714764,-2.502737243,0.014627237,1
