S 255 ,Estimate,Std..Error,t.value,Pr...t..,
S 255 ,(Intercept),93.67914549,146.976505,0.63737497,0.530174878,1
S 255 ,credit,-2.654008195,1.115198856,-2.379851971,0.025995431,1
S 255 ,returns,-0.690307982,0.294528948,-2.343769559,0.028098831,1
S 255 ,bubble,1.064496113,0.404399641,2.63228748,0.014891109,1
S 255 ,train,2.202309387,0.900494505,2.445666659,0.022528278,1
