C 416 ,Estimate,Std..Error,t.value,Pr...t..,
C 416 ,(Intercept),98.79391237,54.36378234,1.817274445,0.073394811,1
C 416 ,stocks,0.299522499,0.150153161,1.994779848,0.049906533,1
C 416 ,dowjones,-0.643386446,0.278433498,-2.310736492,0.023756132,1
C 416 ,cancer,-0.604658798,0.208889017,-2.894641401,0.005039453,1
C 416 ,stockmarket,0.786490949,0.339348773,2.317647836,0.023355239,1
C 416 ,invest,1.077635519,0.275857849,3.906488518,0.0002113,1
C 416 ,fed,0.558213902,0.197790485,2.822248515,0.006181428,1
C 416 ,risk,0.79612421,0.291823968,2.728097404,0.008022399,1
C 416 ,rich,0.388407831,0.155487149,2.498006003,0.014807525,1
C 416 ,war,-0.504229125,0.185883043,-2.712614972,0.008369239,1
C 416 ,trader,-0.555614834,0.205201602,-2.707653491,0.008483251,1
C 416 ,lifestyle,0.346285891,0.113254732,3.057584296,0.003144733,1
C 416 ,fond,-0.516055812,0.201637582,-2.559323548,0.012619119,1
C 416 ,kitchen,-0.780839623,0.375992497,-2.076742565,0.041445488,1
