T 212 ,Estimate,Std..Error,t.value,Pr...t..,
T 212 ,(Intercept),51.72583148,26.81782896,1.928785196,0.057755675,1
T 212 ,restaurant,0.428039354,0.181249538,2.361602451,0.020943158,1
T 212 ,invest,-0.337202482,0.136081565,-2.477943877,0.015594427,1
T 212 ,sell,-0.627919756,0.220651773,-2.845749878,0.00578693,1
T 212 ,car,-0.417940996,0.201292538,-2.076286584,0.041488895,1
T 212 ,rich,0.240017055,0.076702311,3.129202373,0.002543121,1
T 212 ,water,0.4370599,0.194295609,2.249458451,0.027585564,1
T 212 ,default,-0.256796488,0.106092714,-2.420491268,0.018059852,1
T 212 ,gains,0.16637825,0.07616856,2.184342854,0.032240901,1
T 212 ,earnings,-0.129187062,0.044752845,-2.886678183,0.005154786,1
