D 144 ,Estimate,Std..Error,t.value,Pr...t..,
D 144 ,(Intercept),62.34713991,25.80445353,2.416138742,0.01826013,1
D 144 ,dowjones,-0.282129874,0.132161965,-2.134728214,0.036236128,1
D 144 ,money,0.52065969,0.162571761,3.202645332,0.002039093,1
D 144 ,stockmarket,0.467779886,0.161076166,2.904091259,0.004905682,1
D 144 ,ore,0.158256157,0.075910255,2.084779675,0.040686809,1
D 144 ,rich,0.187269091,0.073803932,2.53738636,0.013366017,1
D 144 ,default,-0.212716495,0.102083748,-2.083744947,0.040783805,1
D 144 ,gains,0.153483265,0.07329035,2.094181078,0.039814626,1
D 144 ,food,-0.461651448,0.120776308,-3.822367616,0.0002808,1
D 144 ,nyse,-0.283233101,0.125948408,-2.248802547,0.027629337,1
D 144 ,culture,0.365180421,0.178121868,2.050171744,0.044041395,1
D 144 ,greed,0.127484754,0.062355606,2.044479419,0.044615405,1
D 144 ,kitchen,-0.391545991,0.178469571,-2.193908958,0.03151654,1
D 144 ,garden,0.34896985,0.142988353,2.440547377,0.01716215,1
